Player,Batting Classification,Bowling Classification,DOB,Debut Date
SS Das,Right-hand batsman,Right-arm fast-medium,1993-11-04,2014-04-01
SC Chakraborty,Right-hand batsman,Slow left-arm orthodox,1985-04-04,2014-04-01
SK Lenka,Right-hand batsman,Right-arm (unknown style),1992-12-14,2014-04-01
SS Moinuddin,Right-hand batsman,Right-arm off-break,1991-12-02,2014-04-01
AS Singhvi,Left-hand batsman,Slow left-arm orthodox,1992-05-31,2014-04-01
RNB Indrajith,Right-hand batsman,Leg-break,1994-07-08,2014-04-01
M Shahrukh Khan,Right-hand batsman,Right-arm off-break,1995-05-27,2014-04-01
M Mohammed,Right-hand batsman,Right-arm medium pace,1991-12-03,2014-04-01
C Saini,Right-hand batsman,Right-arm fast-medium,1986-12-21,2014-04-01
SS Jain,Left-hand batsman,Right-arm off-break,1993-03-31,2014-04-01
AA Barot,Right-hand batsman,Right-arm off-break,1992-06-25,2014-04-01
Guntashveer Singh,Right-hand batsman,Right-arm off-break,1993-10-14,2014-04-01
S Lumba,Right-hand batsman,Right-arm off-break,1989-09-10,2014-04-01
K Harish,Right-hand batsman,Right-arm fast-medium,1991-05-19,2014-04-02
IP Kishan,Left-hand batsman,Left-arm medium pace,1998-07-18,2014-04-02
Virat Singh,Left-hand batsman,Leg-break,1997-12-08,2014-04-02
SH Ashraf,Left-hand batsman,Slow left-arm orthodox,1989-11-02,2014-04-02
Kaushal Singh,Right-hand batsman,Right-arm medium pace,1996-10-10,2014-04-02
Jaskaran Singh,Left-hand batsman,Left-arm fast-medium,1991-12-21,2014-04-02
NN Sen Chowdhary,Right-hand batsman,Right-arm medium pace,1990-10-23,2014-04-02
SN Khan,Right-hand batsman,Right-arm off-break,1997-10-22,2014-04-02
PI Solanki,Left-hand batsman,Leg-break,1990-02-14,2014-04-02
SE Rajan,Right-hand batsman,Right-arm medium pace,1989-09-26,2014-04-02
PP Shaw,Right-hand batsman,Right-arm off-break,1988-02-12,2014-04-03
I Rasool,Right-hand batsman,Right-arm medium pace,1988-11-17,2014-04-03
N Einstein,Right-hand batsman,Right-arm off-break,1989-08-16,2014-04-03
P Jaswal,Right-hand batsman,Right-arm medium pace,1995-09-20,2014-04-03
V Vinod,Right-hand batsman,Right-arm (unknown style),1993-12-02,2014-04-03
PM Anfal,Right-hand batsman,Leg-break,1990-11-04,2014-04-03
R Samarth,Right-hand batsman,Right-arm off-break,1993-01-22,2014-04-03
PB Chakraborty,Right-hand batsman,Right-arm medium pace,1994-09-16,2014-04-04
Mehjoor Ali,Right-hand batsman,Right-arm fast-medium,1991-04-15,2014-04-04
AR Sarangi,Left-hand batsman,Right-arm medium pace,1992-12-17,2014-04-04
Raju Kumar,Right-hand batsman,Right-arm fast-medium,1990-12-26,2014-04-04
Vikash Singh,Left-hand batsman,Left-arm medium pace,1994-06-28,2014-04-04
DD Hada,Right-hand batsman,Right-arm fast-medium,1992-10-01,2014-04-04
J Suchith,Left-hand batsman,Slow left-arm orthodox,1994-01-16,2014-04-04
S Dhaliwal,Right-hand batsman,Slow left-arm orthodox,1991-11-18,2014-04-04
AA Sarwate,Right-hand batsman,Slow left-arm orthodox,1989-12-10,2014-04-04
B Ayyappa,Right-hand batsman,Right-arm medium pace,1992-10-27,2014-04-05
LA Garg,Right-hand batsman,Right-arm medium pace,1995-10-10,2014-04-05
Karanveer Singh,Right-hand batsman,Leg-break and googly,1987-11-08,2014-04-05
Jiwanjot Singh,Right-hand batsman,Right-arm off-break,1990-11-06,2014-04-05
Digvijay Singh,Right-hand batsman,Leg-break,1990-07-14,2014-04-05
UD Yadav,Right-hand batsman,Right-arm off-break,1996-10-08,2014-04-05
RT Arothe,Left-hand batsman,Left-arm fast-medium,1995-11-12,2014-04-08
V Kalkal,Right-hand batsman,Right-arm off-break,1995-12-22,2014-04-08
J Phogat,Right-hand batsman,Right-arm medium pace,1994-11-16,2014-04-08
AD Kaushik,Right-hand batsman,Right-arm medium pace,1991-09-10,2014-04-08
Pratyush Singh,Right-hand batsman,Leg-break,1994-09-04,2014-04-08
Javed Khan,Right-hand batsman,Right-arm medium pace,1993-07-10,2014-04-08
SS Quadri,Right-hand batsman,Leg-break and googly,1989-07-27,2014-04-08
PK Panchal,Right-hand batsman,Right-arm medium pace,1990-04-09,2014-04-08
CT Gaja,Right-hand batsman,Right-arm medium pace,1994-11-13,2014-04-08
SS Das,Right-hand batsman,Right-arm fast-medium,1992-11-29,2014-04-09
YA Tomar,Left-hand batsman,Slow left-arm orthodox,1991-04-08,2014-04-09
AP Ghosh,Right-hand batsman,Right-arm medium pace,1990-09-21,2014-04-10
SS Ghosh,Right-hand batsman,Right-arm medium pace,1992-09-16,2014-04-10
Samarth Singh,Right-hand batsman,Right-arm off-break,1991-09-11,2014-04-10
RR Yadav,Right-hand batsman,Right-arm medium pace,1991-12-25,2014-04-10
L Sharma,Right-hand batsman,Right-arm fast-medium,1987-08-29,2014-04-10
S Passi,Right-hand batsman,Leg-break,1989-10-06,2014-04-12
NS Tomar,Right-hand batsman,Right-arm medium pace,1994-11-01,2014-04-12
RB Bishnoi,Left-hand batsman,Slow left-arm orthodox,1990-01-25,2014-04-12
BP Baria,Right-hand batsman,Right-arm fast-medium,1990-05-14,2014-04-12
KM Shaikh,Right-hand batsman,Right-arm off-break,1988-11-04,2014-04-14
R Tewatia,Left-hand batsman,Leg-break and googly,1993-05-20,2014-05-05
Shivam Sharma,Right-hand batsman,Right-arm off-break,1993-09-09,2014-05-09
U Arshad,Right-hand batsman,Right-arm medium-fast,1993-01-09,2014-05-16
RK Oliver,Left-hand batsman,Right-arm medium pace,1989-11-14,2014-05-16
T Kohler-Cadmore,Right-hand batsman,Right-arm off-break,1994-08-19,2014-05-16
GJ McCarter,Right-hand batsman,Right-arm fast-medium,1992-10-10,2014-05-16
RAJ Smith,Right-hand batsman,Right-arm medium pace,1994-08-05,2014-05-16
AG Salter,Right-hand batsman,Right-arm off-break,1993-06-01,2014-05-16
SKW Wood,Left-hand batsman,Right-arm off-break,1993-04-03,2014-05-16
TK Curran,Right-hand batsman,Right-arm fast-medium,1995-03-12,2014-05-16
AL Davies,Right-hand batsman,null,1994-08-23,2014-05-17
A Balbirnie,Right-hand batsman,Right-arm off-break,1990-12-28,2014-05-17
BT Foakes,Right-hand batsman,null,1993-02-15,2014-05-17
HZ Finch,Right-hand batsman,Right-arm medium-fast,1995-02-10,2014-05-18
R Shreyas Gopal,Right-hand batsman,Leg-break,1993-09-04,2014-05-19
AP Agathangelou,Right-hand batsman,Right-arm off-break  Leg-break,1989-11-16,2014-05-23
DL Lloyd,Right-hand batsman,Right-arm medium pace,1992-05-15,2014-05-23
KS Velani,Right-hand batsman,Right-arm off-break  Right-arm medium pace,1994-09-02,2014-05-23
MET Salisbury,Right-hand batsman,Right-arm medium-fast,1993-04-18,2014-05-23
CL Herring,Right-hand batsman,null,1994-07-15,2014-05-23
C Overton,Right-hand batsman,Right-arm fast-medium,1994-04-10,2014-05-23
BJ Taylor,Right-hand batsman,Right-arm off-break,1997-03-14,2014-05-23
TC Moore,Right-hand batsman,Right-arm medium-fast,1992-03-29,2014-05-30
JP Webb,Right-hand batsman,Right-arm medium pace,1992-01-12,2014-05-30
OE Robinson,Right-hand batsman,Right-arm medium pace,1993-12-01,2014-05-30
BA Raine,Right-hand batsman,Right-arm medium-fast,1991-09-14,2014-06-06
KK Jennings,Left-hand batsman,Right-arm medium-fast,1992-06-19,2014-06-07
M Higginbottom,Left-hand batsman,Right-arm medium-fast,1990-10-20,2014-06-13
RO Gordon,Right-hand batsman,Right-arm fast,1991-10-12,2014-06-13
Mosaddek Hossain,Right-hand batsman,Right-arm off-break,1995-12-10,2014-06-14
RF Higgins,Right-hand batsman,Right-arm off-break  Right-arm medium pace,1995-01-06,2014-06-18
HW Podmore,Right-hand batsman,Right-arm medium-fast,1994-07-23,2014-06-20
AP Rouse,Right-hand batsman,null,1992-06-30,2014-06-26
PD Wickramasinghe,Left-hand batsman,Leg-break,1994-02-01,2014-06-27
DAS Gunaratne,Right-hand batsman,Right-arm medium-fast,1986-01-08,2014-06-27
JE Burke,Right-hand batsman,Right-arm medium-fast,1991-01-25,2014-06-27
PADLR Sandakan,Right-hand batsman,Slow left-arm chinaman,1991-06-10,2014-06-28
GTG Cork,Right-hand batsman,Left-arm medium-fast,1994-09-29,2014-06-29
SE Thomas,Right-hand batsman,null,1988-09-15,2014-07-11
AJ Hosein,Left-hand batsman,Slow left-arm orthodox,1993-04-24,2014-07-12
BD Cotton,Right-hand batsman,Right-arm medium-fast,1993-09-13,2014-07-18
A Sheikh,Right-hand batsman,Left-arm fast,1991-02-18,2014-07-18
P Coughlin,Right-hand batsman,Right-arm medium pace,1992-10-23,2014-07-24
ME Hobden,Right-hand batsman,Right-arm medium-fast,1993-03-27,2014-07-25
RJ Montgomery,Right-hand batsman,Right-arm fast-medium,1994-09-22,2014-07-25
GA Edwards,Right-hand batsman,Right-arm fast-medium,1992-07-29,2014-07-25
JE Poysden,Left-hand batsman,Leg-break,1991-08-08,2014-07-25
ROO Jordan,Right-hand batsman,Right-arm fast-medium,1994-10-21,2014-07-27
Mir Hamza,Left-hand batsman,Left-arm medium-fast,1992-09-10,2014-08-10
Zubair Ahmed,null,null,-,2014-09-17
Majid Khan,Right-hand batsman,null,1988-04-10,2014-09-17
Irfanullah Shah,Right-hand batsman,Right-arm medium-fast,1995-05-05,2014-09-17
Shabbir Ahmed,Right-hand batsman,Right-arm medium-fast,1982-06-14,2014-09-17
Fawad Khan,Right-hand batsman,Slow left-arm orthodox,1992-10-10,2014-09-17
Hasnain Bokhari,Right-hand batsman,Leg-break,1991-06-24,2014-09-17
Noor Din,Right-hand batsman,null,1990-05-01,2014-09-18
Sohrab Khan,Right-hand batsman,Right-arm off-break,1989-01-01,2014-09-18
Mukhtar Ahmed,Right-hand batsman,Leg-break,1992-12-20,2014-09-18
MJ Santner,Left-hand batsman,Slow left-arm orthodox,1992-02-05,2014-09-19
Bilal Irshad,Right-hand batsman,Right-arm off-break,1991-02-01,2014-09-19
Ehsanullah,null,null,-,2014-09-20
Mohiuddin,Left-hand batsman,Left-arm fast-medium,1986-03-07,2014-09-20
Adil Gulbahar,Right-hand batsman,Right-arm off-break,1985-03-23,2014-09-22
Hasan Raza,Left-hand batsman,Right-arm medium-fast,1995-01-06,2014-09-22
Irfan Talib,Left-hand batsman,Slow left-arm orthodox,1986-01-26,2014-09-22
Ghulam Murtaza,Right-hand batsman,Slow left-arm orthodox,1990-12-15,2014-09-22
Abdul Shakoor,Right-hand batsman,Leg-break,1982-06-15,2014-09-22
Iqbal Akram,Right-hand batsman,null,1991-05-12,2014-09-22
Arsalan Arif,Left-hand batsman,Slow left-arm orthodox,1993-01-05,2014-09-22
Naqash Basharat,Left-hand batsman,Left-arm medium-fast,1992-04-04,2014-09-22
Kamran Ghulam,Right-hand batsman,Slow left-arm orthodox,1995-10-10,2014-09-22
Faisal Ahmed,Right-hand batsman,Right-arm off-break,1990-12-28,2014-09-22
Najeebullah,Right-hand batsman,Right-arm medium-fast,1993-01-01,2014-09-22
Taj Wali,Left-hand batsman,Left-arm fast-medium,1991-03-21,2014-09-22
Imran Khan (Swat),Right-hand batsman,Left-arm medium-fast,1988-07-14,2014-09-22
Taimur Khan,Right-hand batsman,Right-arm (unknown style),1988-03-06,2014-09-23
Ali Shan,Right-hand batsman,Right-arm off-break,1994-10-17,2014-09-23
Sohrab Aslam,Right-hand batsman,Right-arm off-break,1979-11-16,2014-09-24
Umair Ali,null,null,-,2014-09-24
Rashid Naseer,null,null,-,2014-09-24
Imran Butt,Right-hand batsman,Right-arm medium-fast,1995-12-27,2014-09-24
Bilawal Iqbal,Right-hand batsman,Right-arm fast-medium,1989-08-17,2014-09-24
Tauqeer Riasat,null,null,-,2014-09-25
Zeeshan-ul-Haq,Right-hand batsman,Right-arm (unknown style),1988-11-10,2014-09-25
Muzammil Tehseen,Right-hand batsman,Slow left-arm orthodox,1994-04-15,2014-09-25
Mohammad Bilawal,Left-hand batsman,Left-arm fast-medium,1994-11-08,2014-09-26
CT Bancroft,Right-hand batsman,Right-arm medium pace,1992-11-19,2014-09-30
SM Razack,Right-hand batsman,Right-arm off-break,1992-05-26,2014-10-05
KO Rafferty,Right-hand batsman,Right-arm fast-medium,1992-05-06,2014-10-05
C Samboer,Right-hand batsman,Right-arm medium-fast,1993-05-22,2014-10-12
A Ferreira,Right-hand batsman,Right-arm medium pace,1994-10-15,2014-10-12
CF Snyman,Right-hand batsman,Right-arm medium pace,1996-05-04,2014-10-12
JF Smith,Right-hand batsman,Right-arm medium-fast,1994-10-11,2014-10-12
Z Pongolo,Right-hand batsman,Right-arm medium pace,1989-08-18,2014-10-19
AJ Malan,Right-hand batsman,Right-arm medium pace,1991-07-29,2014-10-19
BC Fortuin,Left-hand batsman,Slow left-arm orthodox,1994-10-21,2014-10-19
H Alli,Right-hand batsman,Right-arm medium-fast,1990-08-02,2014-10-19
MD du Preez,Right-hand batsman,Leg-break,1996-01-03,2014-10-26
OO Ramaboea,Right-hand batsman,Slow left-arm orthodox,1989-12-28,2014-10-26
TL Seifert,Right-hand batsman,null,1994-12-14,2014-11-01
MJ Taylor,Right-hand batsman,Right-arm fast-medium,1992-02-18,2014-11-01
CD Fletcher,Right-hand batsman,null,1993-03-01,2014-11-02
JJ Peirson,Right-hand batsman,null,1992-10-13,2014-11-02
SE Gotch,Right-hand batsman,Right-arm medium pace,1993-07-12,2014-11-02
KR Smith,Left-hand batsman,Right-arm off-break,1994-09-05,2014-11-02
JJ Bazley,Right-hand batsman,Right-arm fast-medium,1995-04-08,2014-11-02
JR Doran,Left-hand batsman,Left-arm medium pace,1996-11-02,2014-11-02
BM Ashkenazi,Right-hand batsman,Right-arm fast-medium,1994-10-05,2014-11-02
LJ Delport,Left-hand batsman,Slow left-arm orthodox,1988-02-12,2014-11-02
GA Edmeades,Right-hand batsman,Leg-break,1992-09-09,2014-11-02
JG Dill,Right-hand batsman,Right-arm medium pace,1994-11-10,2014-11-02
S Pono,Right-hand batsman,null,1994-02-21,2014-11-02
AK Markram,Right-hand batsman,Right-arm off-break,1994-10-04,2014-11-02
TR Khoza,Right-hand batsman,Right-arm off-break,1987-07-20,2014-11-02
SA Mothoa,Right-hand batsman,Right-arm fast-medium,1989-12-16,2014-11-02
BA Carse,Right-hand batsman,Right-arm fast,1995-07-31,2014-11-02
MB Kruger,Right-hand batsman,null,1995-04-12,2014-11-02
S Booi,Right-hand batsman,Right-arm medium-fast,1986-07-29,2014-11-02
OEG Baartman,Right-hand batsman,Right-arm medium-fast,1993-03-18,2014-11-02
LA Roelfse,Right-hand batsman,Leg-break,1995-02-21,2014-11-02
C Bosch,Right-hand batsman,Right-arm fast-medium,1994-09-10,2014-11-07
TA Blundell,Right-hand batsman,Right-arm off-break,1990-09-01,2014-11-08
NB Hornbuckle,Right-hand batsman,Right-arm off-break,1991-09-24,2014-11-16
JK Soutter,Right-hand batsman,Right-arm medium-fast,1994-08-20,2014-11-16
BP Rodden,Right-hand batsman,Right-arm medium pace,1989-01-29,2014-11-20
RF Badenhorst,Right-hand batsman,Right-arm medium-fast,1991-05-13,2014-11-20
JG Walker,Right-hand batsman,Right-arm off-break,1992-09-06,2014-11-23
RP Magar,Right-hand batsman,Leg-break and googly,1992-08-27,2014-11-24
Anas Khan,Left-hand batsman,Slow left-arm orthodox,1993-02-26,2014-11-24
Waqas Khan,Right-hand batsman,Right-arm medium-fast,1999-03-10,2014-11-24
JL Finnie,Right-hand batsman,Right-arm off-break,1996-12-18,2014-11-28
DT Meiring,Right-hand batsman,Right-arm fast-medium,1986-04-23,2014-11-28
BEW McCord,Right-hand batsman,Right-arm medium pace,1987-08-17,2014-11-30
SM Fitzgibbon,Right-hand batsman,null,1986-09-24,2014-11-30
KW Sekhukhune,Left-hand batsman,Right-arm off-break,1997-07-16,2014-11-30
L Mokoena,Right-hand batsman,Right-arm fast,1990-07-30,2014-11-30
Z Saloojee,Right-hand batsman,Right-arm off-break,1989-05-25,2014-11-30
JJ Kilani,Right-hand batsman,null,1992-08-21,2014-11-30
M Budaza,Right-hand batsman,Left-arm fast,1993-09-06,2014-11-30
M Nkomo,Right-hand batsman,Leg-break,1986-08-06,2014-12-07
TJ Kannemeyer,Right-hand batsman,Right-arm fast-medium,1988-10-21,2014-12-14
C Tshiki,Left-hand batsman,Left-arm medium pace,1990-03-21,2014-12-14
P Chetty,Right-hand batsman,Right-arm medium pace,1985-08-20,2014-12-14
Y Valli,Left-hand batsman,Slow left-arm orthodox,1995-06-03,2014-12-14
AI Ross,Right-hand batsman,Right-arm off-break,1992-04-17,2014-12-18
BJ Dwarshuis,Right-hand batsman,Left-arm fast-medium,1994-06-23,2014-12-19
SA Milenko,Right-hand batsman,Right-arm medium-fast,1988-11-24,2014-12-21
AM Brooker,Right-hand batsman,Right-arm fast-medium,1995-09-10,2014-12-21
MS Harris,Left-hand batsman,Right-arm off-break,1992-07-21,2014-12-22
TL Lawford,Right-hand batsman,Right-arm medium-fast,1988-04-18,2014-12-22
MW Dixon,Right-hand batsman,Right-arm fast,1992-06-12,2014-12-26
MW Short,Right-hand batsman,Right-arm medium pace,1995-11-08,2014-12-26
NP Winter,Left-hand batsman,Left-arm fast-medium,1993-06-19,2014-12-26
JK Reed,Left-hand batsman,Right-arm fast-medium,1990-09-28,2015-01-02
AR Beadle,Left-hand batsman,Slow left-arm orthodox,1986-08-29,2015-01-12
JP Oakes,Right-hand batsman,null,1995-04-07,2015-01-18
DH Bruwer,Left-hand batsman,Right-arm off-break,1995-01-06,2015-01-18
CJ Green,Right-hand batsman,Right-arm off-break,1993-10-01,2015-01-22
JH van Dyk,Right-hand batsman,Right-arm fast-medium,1994-01-23,2015-02-21
M Calana,Left-hand batsman,Right-arm fast-medium,1993-01-19,2015-02-21
LT Mdashe,Right-hand batsman,Right-arm fast-medium,1989-06-04,2015-02-21
LJW Brown,Right-hand batsman,Right-arm medium pace,1995-01-01,2015-02-22
R Moonsamy,Right-hand batsman,null,1996-09-13,2015-02-22
MB Njoloza,Right-hand batsman,Left-arm medium-fast,1988-12-20,2015-02-22
S Mahmoud,Right-hand batsman,Leg-break,1996-04-12,2015-02-22
KR Mannikam,Right-hand batsman,Right-arm medium pace,1996-01-19,2015-02-22
DR Patel,Right-hand batsman,null,1994-11-15,2015-03-24
AA Sheth,Right-hand batsman,Right-arm fast-medium,1996-02-03,2015-03-24
SN Thakur,Right-hand batsman,Right-arm fast-medium,1991-10-16,2015-03-24
V Rawal,Left-hand batsman,Leg-break,1991-11-09,2015-03-24
PS Vijayran,Left-hand batsman,Right-arm medium pace,1995-11-18,2015-03-24
J Wadhwan,Right-hand batsman,Right-arm medium pace,1994-09-15,2015-03-24
J Lone,Right-hand batsman,Right-arm medium pace,1993-03-03,2015-03-24
Asif Khan,Right-hand batsman,Right-arm off-break,1992-12-04,2015-03-24
Umar Nazir,Right-hand batsman,Right-arm fast-medium,1993-11-03,2015-03-24
A Alam,Right-hand batsman,Right-arm off-break,1993-11-17,2015-03-24
CS Chundawat,Right-hand batsman,Right-arm off-break,1994-09-08,2015-03-24
NB Singh,Right-hand batsman,Right-arm medium pace,1995-09-08,2015-03-24
PM Datey,Right-hand batsman,Right-arm medium pace,1994-09-10,2015-03-24
YB Rawat,Right-hand batsman,Right-arm medium pace,1992-12-28,2015-03-24
SM Gugale,Right-hand batsman,Right-arm medium pace,1991-04-04,2015-03-24
HP Patel,Left-hand batsman,Slow left-arm orthodox,1995-05-08,2015-03-24
Lakhan Singh,Right-hand batsman,Right-arm fast-medium,1983-10-07,2015-03-24
VS Hathwala,Left-hand batsman,Left-arm fast-medium,1993-09-06,2015-03-24
D Punia,Right-hand batsman,Right-arm medium pace,1993-09-27,2015-03-24
R Kanojia,Right-hand batsman,Slow left-arm orthodox,1994-12-26,2015-03-24
Raghav Dhawan,Right-hand batsman,Right-arm medium pace,1987-01-08,2015-03-24
H Rana,Right-hand batsman,Right-arm medium pace,1998-10-01,2015-03-24
Jaskaranvir Singh,Right-hand batsman,Right-arm medium-fast,1993-09-21,2015-03-24
SS Ruikar,Left-hand batsman,Slow left-arm orthodox,1990-06-06,2015-03-24
YB Tembhare,Left-hand batsman,Left-arm medium pace,1990-08-02,2015-03-24
KC Avinash,Right-hand batsman,null,1987-06-23,2015-03-25
DK Mathias,Right-hand batsman,Right-arm medium pace,1991-03-20,2015-03-25
Kranthi Kumar,Right-hand batsman,Right-arm medium pace,1993-12-21,2015-03-25
VC Stephen,Left-hand batsman,Left-arm fast-medium,1993-12-03,2015-03-25
KV Sasikanth,Right-hand batsman,Right-arm medium pace,1995-07-17,2015-03-25
RR Sharma,Left-hand batsman,Right-arm off-break,1994-12-19,2015-03-25
KK Seth,Right-hand batsman,Left-arm medium pace,1997-11-04,2015-03-25
W Antony Dhas,Right-hand batsman,Right-arm fast-medium,1988-10-14,2015-03-25
AA Crist,Right-hand batsman,Right-arm medium pace,1994-07-09,2015-03-25
TD Agarwal,Left-hand batsman,Leg-break,1995-05-03,2015-03-25
PM Sahani,Left-hand batsman,Slow left-arm orthodox,1993-03-09,2015-03-25
VR Iyer,Left-hand batsman,Right-arm medium pace,1994-12-25,2015-03-25
SD Karathia,Right-hand batsman,Leg-break and googly,1991-11-15,2015-03-25
SG Singh,Left-hand batsman,Left-arm (unknown style),1999-05-17,2015-03-25
AM Bloch,Right-hand batsman,Right-arm off-break,1985-02-01,2015-03-25
KB Pawan,Right-hand batsman,null,1987-12-19,2015-03-25
S Mohan,Left-hand batsman,Right-arm off-break,1990-10-04,2015-03-25
KC D'Costa,Right-hand batsman,Right-arm medium pace,1994-09-17,2015-03-25
PP Das,Right-hand batsman,Right-arm off-break,1994-02-10,2015-03-25
P Roshan Kumar,Right-hand batsman,Right-arm medium pace,1993-12-28,2015-03-25
KS Das,Left-hand batsman,Slow left-arm orthodox,1988-05-02,2015-03-25
AS Sarkar,Right-hand batsman,Right-arm fast-medium,1997-03-10,2015-03-25
Manjeet Singh,Right-hand batsman,Right-arm fast-medium,1991-11-01,2015-03-25
HL Asnora,Right-hand batsman,Right-arm fast-medium,1995-08-16,2015-03-25
KM Shaikh,Right-hand batsman,Slow left-arm orthodox,1986-10-13,2015-03-26
Aditya Pratap Singh,Right-hand batsman,Right-arm off-break,1989-12-21,2015-03-26
SS Pundir,Left-hand batsman,Leg-break,1998-10-16,2015-03-26
M Rangarajan,Right-hand batsman,Right-arm off-break,1989-04-22,2015-03-26
DM Chauhan,Right-hand batsman,Slow left-arm orthodox,1994-07-01,2015-03-26
K Ashwin Hebbar,Right-hand batsman,Right-arm medium pace,1995-11-15,2015-03-27
S Godara,Right-hand batsman,Right-arm fast-medium,1987-12-08,2015-03-27
Fabid Ahmed,Right-hand batsman,Right-arm off-break,1995-07-27,2015-03-27
SV Trivedi,Left-hand batsman,Right-arm medium pace,1991-10-20,2015-03-27
SM Kazi,Right-hand batsman,Right-arm off-break,1994-11-10,2015-03-27
Vikash Kumar,Left-hand batsman,Slow left-arm orthodox,1997-06-26,2015-03-27
U Pandit,Right-hand batsman,Right-arm medium pace,1994-12-07,2015-03-27
S Sharma,Right-hand batsman,Right-arm fast-medium,1989-11-09,2015-03-27
L Suryaprakash,Right-hand batsman,Leg-break and googly,1989-09-27,2015-03-27
MG Naveen,Right-hand batsman,Right-arm medium pace,1994-05-24,2015-03-27
AS Kuila,Right-hand batsman,Right-arm medium pace,1995-07-09,2015-03-28
SB Vyas,Right-hand batsman,Leg-break,1995-11-28,2015-03-28
RV Shet,Left-hand batsman,Right-arm medium pace,1994-09-27,2015-03-28
RS Harikant,Right-hand batsman,Right-arm (unknown style),1990-10-04,2015-03-28
DD Gaonkar,Right-hand batsman,Right-arm medium pace,1998-04-04,2015-03-28
Mohammad Saif,Left-hand batsman,Slow left-arm orthodox,1996-08-30,2015-03-29
FA Hameed,Left-hand batsman,Right-arm off-break,1995-03-28,2015-03-29
PU Deshpande,Left-hand batsman,Right-arm off-break,1989-09-16,2015-03-29
RR Roy Chowdhury,Right-hand batsman,Right-arm medium pace,1995-11-20,2015-03-29
AR Mallick,Right-hand batsman,Slow left-arm orthodox,1991-11-21,2015-03-29
AD Shanware,Right-hand batsman,Leg-break,1991-08-18,2015-03-29
DDM Rajakaruna,Right-hand batsman,null,1990-09-30,2015-04-01
BOP Fernando,Right-hand batsman,Leg-break,1992-04-15,2015-04-01
SI Fernando,Right-hand batsman,Right-arm off-break,1993-04-14,2015-04-01
PARP Perera,Right-hand batsman,Right-arm off-break,1995-05-02,2015-04-01
CMKK Wijeratne,Right-hand batsman,Right-arm fast-medium,1996-03-28,2015-04-01
DPIN Peiris,Left-hand batsman,null,1994-05-09,2015-04-01
HG Kumara,Right-hand batsman,Leg-break,1988-05-15,2015-04-01
BB Sanjeewa,Right-hand batsman,Right-arm fast-medium,1987-03-23,2015-04-01
TR Priyan,Right-hand batsman,Right-arm fast-medium,1988-08-25,2015-04-01
MB Ranasinghe,Left-hand batsman,null,1995-04-29,2015-04-01
KBU Fernando,Right-hand batsman,Left-arm medium-fast,1995-07-12,2015-04-01
AVL Madushan,Right-hand batsman,Leg-break,1992-06-11,2015-04-01
A Thilanchana,Left-hand batsman,Right-arm medium-fast,1995-06-23,2015-04-01
S Ridma,Left-hand batsman,Slow left-arm orthodox,1995-02-15,2015-04-01
DM Wickramanayaka,Right-hand batsman,Right-arm off-break,1994-05-15,2015-04-01
NT Gamage,Right-hand batsman,Right-arm medium-fast,1991-04-20,2015-04-01
DM Sarathchandra,Right-hand batsman,null,1993-02-06,2015-04-01
DHAP Tharanga,Right-hand batsman,Leg-break,1993-01-23,2015-04-01
PC Wickramasinghe,Right-hand batsman,null,1992-07-20,2015-04-01
CP Weerasinghe,Left-hand batsman,Right-arm medium-fast,1994-04-27,2015-04-01
BKG Mendis,Right-hand batsman,Leg-break,1995-02-02,2015-04-01
MS Warnapura,Right-hand batsman,Right-arm medium pace,1988-06-04,2015-04-01
AN Nanayakkara,Right-hand batsman,Right-arm medium-fast,1991-05-02,2015-04-01
LD Madushanka,Right-hand batsman,Right-arm fast-medium,1992-09-12,2015-04-01
WHT Wanniarchchi,Right-hand batsman,Right-arm off-break,1992-11-14,2015-04-01
BKEL Milantha,Left-hand batsman,null,1994-05-28,2015-04-01
MA Aponso,Right-hand batsman,Slow left-arm orthodox,1993-06-23,2015-04-01
PSR Anurudhda,Right-hand batsman,Right-arm slow-medium,1995-01-15,2015-04-01
RPHD Ranasinghe,Right-hand batsman,Right-arm off-break,1995-04-07,2015-04-01
L Abeyratne,Right-hand batsman,null,1993-05-23,2015-04-01
WGK Wimaladharma,Left-hand batsman,Right-arm off-break,1992-09-09,2015-04-01
SAV Kanchuka,Left-hand batsman,null,1992-05-05,2015-04-01
BWKS Bulathwala,Right-hand batsman,Right-arm medium-fast,1988-01-02,2015-04-01
WRD Dissanayake,Right-hand batsman,Right-arm off-break,1979-09-23,2015-04-01
WS Rangika,Right-hand batsman,Right-arm off-break,1991-01-18,2015-04-01
PC Hewage,Right-hand batsman,Right-arm off-break,1987-06-06,2015-04-01
GS Priyankara,Right-hand batsman,Left-arm medium pace,1983-09-20,2015-04-01
AMCM de Silva,Left-hand batsman,Right-arm medium pace,1991-01-12,2015-04-01
LU Igalagamage,Right-hand batsman,null,1993-11-27,2015-04-01
KASN Rajaguru,Left-hand batsman,Leg-break,1992-11-12,2015-04-01
T Vamsi Krishna,Right-hand batsman,Right-arm (unknown style),1991-12-25,2015-04-01
SB Patra,Left-hand batsman,Slow left-arm orthodox,1992-10-21,2015-04-01
AA Herwadkar,Left-hand batsman,Right-arm off-break,1994-10-31,2015-04-01
